inventory_id,product_id,store_id,quantity_on_hand,reorder_point,last_restocked
INV-00001,PROD-0001,STR-009,186,34,2024-12-31
INV-00002,PROD-0001,STR-011,227,88,2024-07-26
INV-00003,PROD-0001,STR-004,76,,2024-03-27
INV-00004,PROD-0001,STR-003,97,24,2024-11-22
INV-00005,PROD-0001,STR-002,63,49,2024-12-07
INV-00006,PROD-0002,STR-012,225,64,2024-07-19
INV-00007,PROD-0002,STR-005,54,73,2024-06-27
INV-00008,PROD-0002,STR-006,201,57,2024-08-05
INV-00009,PROD-0002,STR-003,154,42,2024-01-23
INV-00010,PROD-0002,STR-004,402,25,2024-03-25
INV-00011,PROD-0003,STR-008,228,28,2024-12-03
INV-00012,PROD-0003,STR-001,200,,2024-05-11
INV-00013,PROD-0003,STR-009,481,89,2024-03-31
INV-00014,PROD-0003,STR-004,129,16,2024-01-15
INV-00015,PROD-0003,STR-011,390,,2024-09-26
INV-00016,PROD-0003,STR-007,44,34,08-30-2024
INV-00017,PROD-0003,STR-006,457,81,2024-06-04
INV-00018,PROD-0003,STR-012,480,70,2024-08-17
INV-00019,PROD-0004,STR-005,328,32,2024-09-26
INV-00020,PROD-0004,STR-010,370,43,2024-07-03
INV-00021,PROD-0004,STR-003,371,38,05/06/2024
INV-00022,PROD-0004,STR-007,401,80,2024-10-01
INV-00023,PROD-0004,STR-008,260,70,10-14-2024
INV-00024,PROD-0004,STR-001,455,54,2024-12-04
INV-00025,PROD-0005,STR-009,347,65,2024-02-26
INV-00026,PROD-0005,STR-005,258,48,2024-04-13
INV-00027,PROD-0005,STR-001,181,56,2024/01/15
INV-00028,PROD-0005,STR-004,15,46,05-01-2024
INV-00029,PROD-0005,STR-010,30,43,2024-03-08
INV-00030,PROD-0005,STR-008,-37,71,21/02/2024
INV-00031,PROD-0006,STR-003,25,40,2024-05-21
INV-00032,PROD-0006,STR-001,391,84,2024-04-07
INV-00033,PROD-0006,STR-004,151,22,2024-03-21
INV-00034,PROD-0006,STR-012,246,,26/08/2024
INV-00035,PROD-0006,STR-008,333,52,2024-04-27
INV-00036,PROD-0006,STR-002,32,50,2024-02-14
INV-00037,PROD-0007,STR-007,443,11,2024-09-25
INV-00038,PROD-0007,STR-009,270,79,16/10/2024
INV-00039,PROD-0007,STR-011,209,,2024-04-21
INV-00040,PROD-0007,STR-002,394,21,2024-03-13
INV-00041,PROD-0007,STR-004,173,65,2024-07-20
INV-00042,PROD-0008,STR-010,136,91,2024/01/11
INV-00043,PROD-0008,STR-012,448,15,2024-06-17
INV-00044,PROD-0008,STR-009,90,50,2024-09-27
INV-00045,PROD-0008,STR-008,304,22,2024-03-24
INV-00046,PROD-0009,STR-009,268,98,12/07/2024
INV-00047,PROD-0009,STR-001,463,65,2024-05-04
INV-00048,PROD-0009,STR-003,41,59,2024-05-25
INV-00049,PROD-0009,STR-008,338,19,2024-06-09
INV-00050,PROD-0009,STR-010,-33,92,2024-07-06
INV-00051,PROD-0009,STR-012,137,15,2024-12-14
INV-00052,PROD-0009,STR-011,257,20,2024-04-08
INV-00053,PROD-0009,STR-005,191,60,2024-10-18
INV-00054,PROD-0010,STR-001,198,88,2024-07-17
INV-00055,PROD-0010,STR-008,428,13,2024-03-14
INV-00056,PROD-0010,STR-006,495,39,2024-06-21
INV-00057,PROD-0011,STR-008,253,89,2024-05-14
INV-00058,PROD-0011,STR-010,110,99,2024-01-13
INV-00059,PROD-0011,STR-003,472,88,2024-07-09
INV-00060,PROD-0011,STR-012,416,59,2024-09-16
INV-00061,PROD-0011,STR-001,299,89,2024-03-07
INV-00062,PROD-0011,STR-002,289,46,07-13-2024
INV-00063,PROD-0011,STR-007,242,100,2024-08-10
INV-00064,PROD-0012,STR-002,276,,2024-09-28
