order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI-000001,ORD-02497,PROD-0105,4,195.57,10
OI-000002,ORD-00956,PROD-0138,2,185.21,30
OI-000003,ORD-00956,PROD-0011,1,5.24,15
OI-000004,ORD-00956,PROD-0050,4,51.22,5
OI-000005,ORD-00983,PROD-0093,4,171.06,10
OI-000006,ORD-02193,PROD-0081,1,170.25,0
OI-000007,ORD-02193,PROD-0036,10,997.7,0
OI-000008,ORD-00200,PROD-0048,1,86.61,5
OI-000009,ORD-00200,PROD-0082,1,17.15,0
OI-000010,ORD-01559,PROD-0106,1,29.3,0
OI-000011,ORD-01559,PROD-0043,2,150.23,30
OI-000012,ORD-01912,PROD-0117,3,38.64,0
OI-000013,ORD-01912,PROD-0127,3,775.68,0
OI-000014,ORD-01912,PROD-0094,2,64.56,25
OI-000015,ORD-01912,PROD-0080,2,340.69,0
OI-000016,ORD-01607,PROD-0075,1,36.21,5
OI-000017,ORD-02053,PROD-0005,10,23.99,0
OI-000018,ORD-02053,PROD-0013,2,43.1,10
OI-000019,ORD-01196,PROD-0109,3,114.02,0
OI-000020,ORD-02780,PROD-0016,3,840.18,10
OI-000021,ORD-02780,PROD-0119,1,303.45,25
OI-000022,ORD-00736,PROD-0042,1,191.03,0
OI-000023,ORD-01519,PROD-0131,1,54.35,0
OI-000024,ORD-01519,PROD-0098,3,35.21,0
OI-000025,ORD-01910,PROD-0015,1,308.01,0
OI-000026,ORD-00060,PROD-0098,3,30.16,15
OI-000027,ORD-00060,PROD-0054,1,40.3,5
OI-000028,ORD-00060,PROD-0087,1,195.56,15
OI-000029,ORD-02515,PROD-0003,1,67.88,0
OI-000030,ORD-02515,PROD-0033,1,140.51,0
OI-000031,ORD-01831,PROD-0063,2,98.31,0
OI-000032,ORD-01831,PROD-0031,1,855.59,0
OI-000033,ORD-01831,PROD-0080,1,393.5,0
OI-000034,ORD-00276,PROD-0113,3,69.11,30
OI-000035,ORD-00276,PROD-0095,1,82.34,0
OI-000036,ORD-00276,PROD-0009,1,162.16,0
OI-000037,ORD-00215,PROD-0053,5,49.38,15
OI-000038,ORD-00215,PROD-0087,1,204.15,15
OI-000039,ORD-00215,PROD-0150,2,350.64,15
OI-000040,ORD-01466,PROD-0034,1,68.5,0
OI-000041,ORD-01466,PROD-0071,2,467.63,0
OI-000042,ORD-01466,PROD-0013,1,45.91,0
OI-000043,ORD-02944,PROD-0118,1,184.35,0
OI-000044,ORD-02293,PROD-0091,4,476.35,0
OI-000045,ORD-02293,PROD-0006,4,31.56,15
OI-000046,ORD-02293,PROD-0051,2,26.12,0
OI-000047,ORD-02293,PROD-0057,1,43.34,0
OI-000048,ORD-02107,PROD-0027,2,409.28,0
OI-000049,ORD-01922,PROD-0060,2,59.99,0
OI-000050,ORD-00974,PROD-0067,5,234.46,0
OI-000051,ORD-00974,PROD-0110,1,214.92,0
OI-000052,ORD-00465,PROD-0079,2,41.11,5
OI-000053,ORD-02465,PROD-0045,1,46.42,10
OI-000054,ORD-02465,PROD-0037,1,452.4,15
OI-000055,ORD-02465,PROD-0007,1,307.85,15
OI-000056,ORD-01316,PROD-0105,4,193.26,5
OI-000057,ORD-01316,PROD-0100,1,25.22,0
OI-000058,ORD-01811,PROD-0005,1,25.15,15
OI-000059,ORD-02295,PROD-0075,2,35.19,10
OI-000060,ORD-02295,PROD-0035,1,89.08,0
OI-000061,ORD-01477,PROD-0068,1,28.58,30
OI-000062,ORD-01935,PROD-0113,2,70.57,10
OI-000063,ORD-01935,PROD-0089,1,281.5,0
OI-000064,ORD-01935,PROD-0050,4,50.94,5
OI-000065,ORD-02800,PROD-0098,10,32.26,15
OI-000066,ORD-02800,PROD-0122,1,739.22,0
OI-000067,ORD-02800,PROD-0143,1,48.3,30
OI-000068,ORD-02800,PROD-0060,1,61.44,0
OI-000069,ORD-00476,PROD-0071,5,461.19,0
OI-000070,ORD-00476,PROD-0117,2,43.76,15
OI-000071,ORD-00169,PROD-0005,1,22.46,0
OI-000072,ORD-00169,PROD-0041,5,41.02,10
OI-000073,ORD-02816,PROD-0083,2,155.81,0
OI-000074,ORD-02172,PROD-0133,2,532.78,0
OI-000075,ORD-02172,PROD-0043,1,163.7,0
OI-000076,ORD-02172,PROD-0073,5,187.26,25
OI-000077,ORD-01104,PROD-0007,1,329.92,0
OI-000078,ORD-01251,PROD-0088,2,54.39,0
OI-000079,ORD-01251,PROD-0086,1,100.07,0
OI-000080,ORD-01251,PROD-0075,2,33.9,0
