order_id,customer_id,store_id,order_date,status,shipping_method
ORD-02497,CUST-0063,STR-007,2023-04-18,cancelled,click_and_collect
ORD-00956,CUST-0009,STR-008,2024-04-07,completed,standard
ORD-00983,CUST-0180,STR-009,2022-05-01,refunded,standard
ORD-02193,CUST-0817,STR-011,2023-01-20,completed,standard
ORD-00200,CUST-0120,STR-004,2022-02-25,processing,standard
ORD-01559,CUST-0213,STR-008,2024-03-05,shipped,next_day
ORD-01912,CUST-0135,STR-005,2024-04-19,completed,click_and_collect
ORD-01607,CUST-0205,STR-007,2023-02-09,completed,express
ORD-02053,CUST-0468,STR-009,2024-12-25,completed,standard
ORD-01196,CUST-0007,STR-005,2022-12-07,,standard
ORD-02780,CUST-0366,STR-001,2023-11-09,cancelled,standard
ORD-00736,CUST-0499,STR-007,2023-11-28,processing,click_and_collect
ORD-01519,CUST-0377,STR-001,2024-09-16,shipped,express
ORD-01910,CUST-0038,STR-001,2022-07-29,shipped,standard
ORD-00060,CUST-0351,STR-002,2024-06-10,completed,standard
ORD-02515,CUST-0289,STR-001,2024-02-16,shipped,express
ORD-01831,CUST-0028,STR-003,2023-01-14,shipped,standard
ORD-00276,CUST-0221,STR-012,2022-10-01,completed,click_and_collect
ORD-00215,CUST-0034,STR-002,2024-08-09,cancelled,express
ORD-01466,CUST-0112,STR-009,2024-10-29,refunded,standard
ORD-02944,CUST-0403,STR-012,2024-10-23,completed,click_and_collect
ORD-02293,CUST-0110,STR-009,2023-11-06,completed,next_day
ORD-02107,CUST-0408,STR-002,2022-11-18,refunded,express
ORD-01922,CUST-0023,STR-002,2022-10-22,completed,standard
ORD-00974,CUST-0039,STR-008,2023-06-26,shipped,standard
ORD-00465,CUST-0429,STR-004,2022-09-18,cancelled,express
ORD-02465,CUST-0443,STR-007,2022-03-04,refunded,standard
ORD-01316,CUST-0441,STR-007,2023-05-06,refunded,standard
ORD-01811,CUST-0142,STR-007,2023-08-25,completed,standard
ORD-02295,CUST-0302,STR-012,2023-06-16,refunded,click_and_collect
ORD-01477,CUST-0400,STR-005,2024-02-01,completed,next_day
ORD-01935,CUST-0081,STR-010,2022-09-26,completed,express
ORD-02800,CUST-0176,STR-006,2023-05-07,shipped,standard
ORD-00476,CUST-0061,STR-012,2023-08-20,completed,next_day
ORD-00169,CUST-0058,STR-003,2023-10-16,cancelled,express
ORD-02816,CUST-0352,STR-010,2022-12-27,shipped,next_day
ORD-02172,CUST-0267,STR-011,2022-04-05,shipped,click_and_collect
ORD-01104,CUST-0219,STR-002,2022-03-13,completed,standard
ORD-01251,CUST-0061,STR-001,2022-10-13,completed,express
ORD-00467,CUST-0214,STR-002,2022-10-26,completed,standard
ORD-01076,CUST-0373,STR-010,2024-02-22,completed,express
ORD-00352,CUST-0369,STR-005,2024-09-28,completed,express
ORD-02841,CUST-0401,STR-001,2023-09-29,completed,standard
ORD-00157,CUST-0431,STR-012,2024-12-09,completed,standard
ORD-01677,CUST-0431,STR-003,2024-05-16,completed,standard
ORD-00319,CUST-0030,STR-002,2024-04-19,completed,next_day
ORD-01156,CUST-0313,STR-004,2022-02-26,shipped,standard
ORD-02946,CUST-0156,STR-012,2022-07-05,cancelled,next_day
ORD-01099,CUST-0319,STR-006,2022-11-12,shipped,standard
ORD-01757,CUST-0329,STR-011,2022-07-08,cancelled,standard
ORD-00326,CUST-0222,STR-005,2024-07-30,cancelled,standard
ORD-00233,CUST-0326,STR-011,2023-04-09,completed,next_day
ORD-00441,CUST-0016,STR-005,2024-02-25,completed,express
ORD-01209,CUST-0049,STR-003,2024-02-02,cancelled,click_and_collect
ORD-00300,CUST-0495,STR-005,2023-12-22,completed,click_and_collect
ORD-00700,CUST-0337,STR-005,2024-07-23,cancelled,standard
ORD-01198,CUST-0230,STR-008,2023-01-08,completed,standard
ORD-02373,CUST-0495,STR-001,2022-10-23,cancelled,click_and_collect
ORD-01100,CUST-0014,STR-010,2024-09-19,shipped,standard
ORD-00201,CUST-0193,STR-001,2023-03-04,processing,express
ORD-01463,CUST-0427,STR-005,2024-07-07,completed,standard
ORD-02061,CUST-0201,STR-011,2023-07-18,completed,express
ORD-00781,CUST-0173,STR-009,2023-07-27,shipped,click_and_collect
ORD-01716,CUST-0068,STR-012,2023-06-11,completed,standard
ORD-00444,CUST-0173,STR-004,2024-08-19,completed,next_day
