payment_id,order_id,payment_method,payment_date,amount,payment_status
PAY-00421,ORD-02909,debit_card,2022-12-30,522.4,success
PAY-01832,ORD-01470,debit_card,2024-07-11,1052.73,success
PAY-00570,ORD-00371,bank_transfer,2024-03-02,358.96,success
PAY-00427,ORD-01012,debit_card,2022-03-01,713.96,success
PAY-00232,ORD-00554,debit_card,2023-12-11,1264.67,failed
PAY-00463,ORD-02686,credit_card,2023-12-26,104.02,refunded
PAY-00342,ORD-00093,credit_card,2024-06-16,447.24,success
PAY-00775,ORD-01777,paypal,2023-04-08,380.16,success
PAY-00062,ORD-00201,paypal,2023-03-04,264.29,failed
PAY-00779,ORD-00841,debit_card,2024-01-30,1887.83,success
PAY-01105,ORD-00008,google_pay,2024-11-07,1352.72,failed
PAY-02749,ORD-02304,paypal,2023-07-26,2265.06,success
PAY-01751,ORD-01204,credit_card,2024-08-06,511.17,success
PAY-00235,ORD-02701,gift_card,2023-10-26,1633.67,success
PAY-02065,ORD-01732,google_pay,2023-11-26,730.13,success
PAY-01308,ORD-00086,credit_card,2023-01-20,171.55,failed
PAY-02433,ORD-01879,google_pay,2023-10-27,929.59,success
PAY-00061,ORD-01100,credit_card,2024-09-21,496.26,success
PAY-01356,ORD-02072,credit_card,2024-05-03,2188.32,success
PAY-00610,ORD-01333,debit_card,2024-01-08,1573.15,failed
PAY-00938,ORD-00600,apple_pay,2022-08-23,433.07,success
PAY-02561,ORD-00425,credit_card,2023-10-19,72.49,refunded
PAY-02438,ORD-00176,credit_card,2024-05-07,497.77,pending
PAY-02707,ORD-00301,google_pay,2023-01-02,498.22,pending
PAY-02082,ORD-00212,google_pay,2023-07-01,2068.92,success
PAY-01019,ORD-02548,credit_card,2022-08-19,182.16,success
PAY-00456,ORD-00082,debit_card,2023-03-10,666.88,success
PAY-01877,ORD-01619,credit_card,2023-09-17,1315.14,success
PAY-00175,ORD-01756,debit_card,2024-02-27,642.48,refunded
