session_id,customer_id,page_url,event_type,event_timestamp,device_type,browser,referrer_source
SESS-000001,CUST-0077,/blog,page_view,2024-10-15 23:21:49,mobile,Firefox,affiliate
SESS-000002,CUST-0173,/products/electronics,page_view,2024-10-14 15:44:38,mobile,Safari,instagram
SESS-000003,CUST-0144,/returns,scroll,2024-08-23 12:57:29,tablet,Firefox,bing
SESS-000004,,/products/home,remove_from_cart,2024-04-27 23:20:39,desktop,Chrome,instagram
SESS-000005,CUST-0217,/checkout,search,2024-11-03 12:07:43,desktop,Chrome,email_campaign
SESS-000006,CUST-0175,/blog,page_view,2024-04-11 02:22:01,mobile,Chrome,bing
SESS-000007,CUST-0394,/products/clothing,video_play,2024-11-28 15:58:19,desktop,Chrome,
SESS-000008,,/blog,page_view,2024-06-25 18:33:04,mobile,Edge,instagram
SESS-000009,,/checkout,search,2024-11-30 07:54:37,desktop,Edge,direct
SESS-000010,,/products/clothing,video_play,2024-12-14 17:46:23,tablet,Edge,bing
SESS-000011,,/checkout/payment,video_play,2024-05-24 00:56:41,mobile,Safari,affiliate
SESS-000012,CUST-0467,/,remove_from_cart,2024-03-27 11:07:48,mobile,Samsung Internet,bing
SESS-000013,CUST-0299,/checkout/payment,add_to_cart,2024-03-25 05:37:22,mobile,Edge,google
SESS-000014,,/cart,remove_from_cart,2024-08-20 09:40:08,desktop,Samsung Internet,tiktok
SESS-000015,CUST-0221,/account,scroll,2024-11-23 16:20:23,tablet,Firefox,
SESS-000016,,/products/home,video_play,2024-11-05 23:13:45,desktop,Chrome,google
SESS-000017,,/blog,search,2024-04-12 21:05:52,mobile,Edge,facebook
SESS-000018,,/blog,remove_from_cart,2024-07-30 21:11:08,desktop,Chrome,google
SESS-000019,,/checkout/confirmation,page_view,2024-05-22 02:09:19,mobile,Samsung Internet,bing
SESS-000020,CUST-0266,/products/clothing,page_view,2024-09-29 08:37:59,mobile,Safari,
SESS-000021,CUST-0088,/products,page_view,2024-03-07 04:41:42,mobile,Chrome,instagram
SESS-000022,CUST-0126,/products/electronics,add_to_cart,2024-06-25 22:23:10,mobile,Chrome,facebook
SESS-000023,,/products/sports,remove_from_cart,2024-12-05 12:32:00,mobile,Chrome,google
SESS-000024,,/cart,page_view,2024-04-07 21:28:41,mobile,Chrome,affiliate
SESS-000025,CUST-0385,/cart,search,2024-10-14 22:25:41,mobile,Chrome,affiliate
